position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
0,329.6690223792697,152.1012956419317,384.29593863563736,355.67899461427385,460.9650463947217,203.3763825979903,182.0192307692308,379.98798076923083,514.7836612975821,383.5869896127698,176.5306479859895,180.0245183887916,441.0610011826953,382.0311533660026,514.0445675954492,161.41420659094078,345.9201332042953,327.06988364718626,508.94108379651436,202.29861756291518,482.73865560226034,170.71354119185293,407.7651977629125,395.1156192757745
1,329.6690223792697,152.1012956419317,384.2959386162119,355.6789946022789,460.77170320782614,203.39873246601044,182.0192307692308,379.98798076923083,514.78366125184,383.58698955953554,176.5306479859895,180.0245183887916,440.95523859361833,382.05715307659693,514.0452297255101,161.41412899939232,345.9201332043356,327.0698836472372,508.78647601557833,202.2963337566717,482.7515725023758,170.748270213176,407.69504503024734,395.1612583132936
2,329.4917197452229,150.0687898089172,385.8523608236273,353.47110651876966,461.810431343251,203.63496620475186,181.97607655502392,379.99282296650716,515.2877813572304,384.34565917126093,179.02896081771718,179.07666098807496,435.71580498052185,381.6429706905078,514.6058490747884,162.12829314783198,346.96987102048973,326.15925272396197,508.4731974743821,202.48317360338595,482.5350219138243,169.3082461803444,408.08559033216807,394.630866618011
3,330.245406824147,150.13517060367454,386.9642249674713,351.67117396554704,461.535242423321,204.48688044065162,181.99522673031024,379.9665871121719,514.9048387104451,384.10806451698977,182.1708542713568,177.70519262981574,433.9207515639698,380.6696597989752,515.2991870333327,162.92392667928948,347.60805820342074,324.60801506844416,509.80232158800567,203.19640376861463,481.4596462958419,165.64979538736574,407.2639004854586,394.1088367787541
4,331.0940860215054,149.30241935483872,389.07064263875486,350.382825748624,461.66045374735404,204.9111267147516,182.01674641148327,379.98086124401914,514.7390542908756,384.6269702278344,187.44670050761417,176.41624365482232,432.53723590080864,379.609383152229,515.3172224816111,163.5670486756527,348.53452383125284,322.73911603629307,509.64379228311753,203.06330967595522,481.5999400113694,165.47194001697437,406.51654465658163,393.8776340088165
5,332.25208913649027,148.06545961002786,389.06454009276496,350.4486696446372,460.8070345461276,205.24399511897133,182.01674641148327,379.98086124401914,513.8727915200716,384.81625441737367,192.45193929173686,174.98988195615513,428.12211845204973,377.10757543491053,515.0389744005773,163.6521200850025,349.1856794008588,320.1504842116519,508.5274396177605,202.91459569663434,482.5490121183535,166.9161788255837,406.2497473764155,399.0276581370311
6,333.51649928263987,145.92109038737448,389.17713379402016,351.06715512297234,460.2151136086981,205.22111115192,182.01674641148327,379.98086124401914,513.7920434025515,385.2893309244647,196.68393782383416,174.09671848013818,431.2463168046131,376.32792493989166,514.9054478134067,164.03863780722196,350.5243055531929,315.41319442749773,510.1033340190984,202.31324545599446,484.40206883073853,169.03780730836024,406.05977878141687,400.61773174187965
7,333.8635724331927,144.08438818565398,388.7121770056472,351.5665013389915,461.61285481892065,204.7343438242916,182.00238663484487,379.95465393794746,514.6184669004994,386.428571429618,200.35135135135133,173.0810810810811,430.1784385150672,375.6884273131487,514.8759864482158,164.5997101120671,351.67561521244926,310.79753914725035,507.8389372110135,202.22240638019062,485.9516352937574,169.81764000489486,410.90359391718835,399.7212505692331
8,333.431643625192,142.72350230414747,389.1123393210733,353.33746753093317,462.0321779590467,203.98584357976128,182.00238663484487,379.95465393794746,515.0701168614589,386.8898163606121,204.12098009188358,172.62021439509954,423.59420265935006,373.8874225951136,514.6797825460999,164.50712351730698,352.28301886881593,306.13540510657725,508.8101379045431,202.08892744237488,487.6323832529551,171.49082766420813,406.09145355214685,395.72655714087125
9,332.1259720062208,140.6765163297045,387.56117276784187,353.9656040017672,460.640387517502,204.18296798498505,181.9976019184652,379.9688249400479,515.764298093606,387.6897746967152,206.34700854700856,173.5008547008547,424.8099644476967,373.96215426762564,515.1238264393562,164.44319309958564,351.81756756772666,300.86036036057715,510.5593732977804,202.22398440276137,489.0323749044363,172.6396526050356,412.63902129549757,400.1072992135757
